image,mask
.\image\t18-01144_307.png,.\mask\t18-01144_307-mask.png
.\image\1000002477_348.png,.\mask\1000002477_348-mask.png
.\image\t18-01144_237.png,.\mask\t18-01144_237-mask.png
.\image\1000003222_263.png,.\mask\1000003222_263-mask.png
.\image\t18-01516_376.png,.\mask\t18-01516_376-mask.png
.\image\t18-01144_456.png,.\mask\t18-01144_456-mask.png
.\image\1000002477_149.png,.\mask\1000002477_149-mask.png
.\image\1000002477_98.png,.\mask\1000002477_98-mask.png
.\image\1000002477_66.png,.\mask\1000002477_66-mask.png
.\image\t18-01144_47.png,.\mask\t18-01144_47-mask.png
.\image\t18-01516_158.png,.\mask\t18-01516_158-mask.png
.\image\1000003222_242.png,.\mask\1000003222_242-mask.png
.\image\t18-01144_268.png,.\mask\t18-01144_268-mask.png
.\image\t18-01144_413.png,.\mask\t18-01144_413-mask.png
.\image\t18-01144_32.png,.\mask\t18-01144_32-mask.png
.\image\1000003222_312.png,.\mask\1000003222_312-mask.png
.\image\t18-01516_384.png,.\mask\t18-01516_384-mask.png
.\image\1000002477_135.png,.\mask\1000002477_135-mask.png
.\image\t18-01516_279.png,.\mask\t18-01516_279-mask.png
.\image\t18-01516_51.png,.\mask\t18-01516_51-mask.png
.\image\1000002477_438.png,.\mask\1000002477_438-mask.png
.\image\t18-01516_309.png,.\mask\t18-01516_309-mask.png
.\image\1000003222_229.png,.\mask\1000003222_229-mask.png
.\image\1000002477_80.png,.\mask\1000002477_80-mask.png
.\image\t18-01144_141.png,.\mask\t18-01144_141-mask.png
.\image\t18-01144_285.png,.\mask\t18-01144_285-mask.png
.\image\1000003222_271.png,.\mask\1000003222_271-mask.png
.\image\t18-01144_98.png,.\mask\t18-01144_98-mask.png
.\image\t18-01144_22.png,.\mask\t18-01144_22-mask.png
.\image\t18-01516_297.png,.\mask\t18-01516_297-mask.png
.\image\t18-01516_335.png,.\mask\t18-01516_335-mask.png
.\image\t18-01516_329.png,.\mask\t18-01516_329-mask.png
.\image\1000002477_184.png,.\mask\1000002477_184-mask.png
.\image\t18-01144_5.png,.\mask\t18-01144_5-mask.png
.\image\1000003222_234.png,.\mask\1000003222_234-mask.png
.\image\t18-01516_65.png,.\mask\t18-01516_65-mask.png
.\image\1000003222_406.png,.\mask\1000003222_406-mask.png
.\image\t18-01144_363.png,.\mask\t18-01144_363-mask.png
.\image\1000003222_477.png,.\mask\1000003222_477-mask.png
.\image\1000003222_169.png,.\mask\1000003222_169-mask.png
.\image\t18-01144_211.png,.\mask\t18-01144_211-mask.png
.\image\1000003222_451.png,.\mask\1000003222_451-mask.png
.\image\1000003222_43.png,.\mask\1000003222_43-mask.png
.\image\1000002477_284.png,.\mask\1000002477_284-mask.png
.\image\t18-01144_372.png,.\mask\t18-01144_372-mask.png
.\image\1000003222_280.png,.\mask\1000003222_280-mask.png
.\image\t18-01144_105.png,.\mask\t18-01144_105-mask.png
.\image\1000002477_453.png,.\mask\1000002477_453-mask.png
.\image\t18-01516_116.png,.\mask\t18-01516_116-mask.png
.\image\t18-01516_268.png,.\mask\t18-01516_268-mask.png
.\image\t18-01144_273.png,.\mask\t18-01144_273-mask.png
.\image\1000003222_299.png,.\mask\1000003222_299-mask.png
.\image\t18-01516_407.png,.\mask\t18-01516_407-mask.png
.\image\1000003222_152.png,.\mask\1000003222_152-mask.png
.\image\t18-01144_233.png,.\mask\t18-01144_233-mask.png
.\image\1000003222_94.png,.\mask\1000003222_94-mask.png
.\image\1000002477_217.png,.\mask\1000002477_217-mask.png
.\image\1000003222_98.png,.\mask\1000003222_98-mask.png
.\image\t18-01516_6.png,.\mask\t18-01516_6-mask.png
.\image\1000002477_346.png,.\mask\1000002477_346-mask.png
.\image\t18-01144_455.png,.\mask\t18-01144_455-mask.png
.\image\1000002477_407.png,.\mask\1000002477_407-mask.png
.\image\t18-01144_475.png,.\mask\t18-01144_475-mask.png
.\image\1000002477_171.png,.\mask\1000002477_171-mask.png
.\image\t18-01144_444.png,.\mask\t18-01144_444-mask.png
.\image\1000002477_110.png,.\mask\1000002477_110-mask.png
.\image\t18-01516_180.png,.\mask\t18-01516_180-mask.png
.\image\t18-01144_101.png,.\mask\t18-01144_101-mask.png
.\image\t18-01516_291.png,.\mask\t18-01516_291-mask.png
.\image\1000003222_114.png,.\mask\1000003222_114-mask.png
.\image\1000003222_31.png,.\mask\1000003222_31-mask.png
.\image\t18-01516_265.png,.\mask\t18-01516_265-mask.png
.\image\1000003222_439.png,.\mask\1000003222_439-mask.png
.\image\t18-01144_296.png,.\mask\t18-01144_296-mask.png
.\image\t18-01144_482.png,.\mask\t18-01144_482-mask.png
.\image\t18-01516_305.png,.\mask\t18-01516_305-mask.png
.\image\1000003222_185.png,.\mask\1000003222_185-mask.png
.\image\1000003222_437.png,.\mask\1000003222_437-mask.png
.\image\t18-01516_160.png,.\mask\t18-01516_160-mask.png
.\image\t18-01516_247.png,.\mask\t18-01516_247-mask.png
.\image\t18-01516_163.png,.\mask\t18-01516_163-mask.png
.\image\t18-01516_426.png,.\mask\t18-01516_426-mask.png
.\image\t18-01144_362.png,.\mask\t18-01144_362-mask.png
.\image\1000002477_230.png,.\mask\1000002477_230-mask.png
.\image\1000003222_320.png,.\mask\1000003222_320-mask.png
.\image\1000003222_488.png,.\mask\1000003222_488-mask.png
.\image\t18-01516_244.png,.\mask\t18-01516_244-mask.png
.\image\1000002477_399.png,.\mask\1000002477_399-mask.png
.\image\t18-01144_232.png,.\mask\t18-01144_232-mask.png
.\image\t18-01516_215.png,.\mask\t18-01516_215-mask.png
.\image\t18-01144_309.png,.\mask\t18-01144_309-mask.png
.\image\t18-01516_229.png,.\mask\t18-01516_229-mask.png
.\image\1000003222_432.png,.\mask\1000003222_432-mask.png
.\image\t18-01144_202.png,.\mask\t18-01144_202-mask.png
.\image\1000002477_371.png,.\mask\1000002477_371-mask.png
.\image\t18-01144_496.png,.\mask\t18-01144_496-mask.png
.\image\t18-01516_107.png,.\mask\t18-01516_107-mask.png
.\image\1000003222_256.png,.\mask\1000003222_256-mask.png
.\image\1000003222_41.png,.\mask\1000003222_41-mask.png
.\image\t18-01516_410.png,.\mask\t18-01516_410-mask.png
.\image\1000003222_112.png,.\mask\1000003222_112-mask.png
.\image\1000002477_61.png,.\mask\1000002477_61-mask.png
.\image\1000003222_452.png,.\mask\1000003222_452-mask.png
.\image\t18-01516_339.png,.\mask\t18-01516_339-mask.png
.\image\1000003222_434.png,.\mask\1000003222_434-mask.png
.\image\t18-01144_458.png,.\mask\t18-01144_458-mask.png
.\image\1000002477_485.png,.\mask\1000002477_485-mask.png
.\image\t18-01144_321.png,.\mask\t18-01144_321-mask.png
.\image\t18-01144_326.png,.\mask\t18-01144_326-mask.png
.\image\1000003222_97.png,.\mask\1000003222_97-mask.png
.\image\t18-01516_106.png,.\mask\t18-01516_106-mask.png
.\image\t18-01144_397.png,.\mask\t18-01144_397-mask.png
.\image\1000002477_152.png,.\mask\1000002477_152-mask.png
.\image\1000002477_368.png,.\mask\1000002477_368-mask.png
.\image\1000002477_111.png,.\mask\1000002477_111-mask.png
.\image\1000002477_474.png,.\mask\1000002477_474-mask.png
.\image\1000002477_91.png,.\mask\1000002477_91-mask.png
.\image\1000002477_133.png,.\mask\1000002477_133-mask.png
.\image\1000002477_215.png,.\mask\1000002477_215-mask.png
.\image\1000002477_437.png,.\mask\1000002477_437-mask.png
.\image\t18-01144_146.png,.\mask\t18-01144_146-mask.png
.\image\t18-01516_235.png,.\mask\t18-01516_235-mask.png
.\image\1000003222_100.png,.\mask\1000003222_100-mask.png
.\image\1000002477_326.png,.\mask\1000002477_326-mask.png
.\image\t18-01516_138.png,.\mask\t18-01516_138-mask.png
.\image\t18-01516_261.png,.\mask\t18-01516_261-mask.png
.\image\1000002477_249.png,.\mask\1000002477_249-mask.png
.\image\1000002477_283.png,.\mask\1000002477_283-mask.png
.\image\t18-01144_381.png,.\mask\t18-01144_381-mask.png
.\image\t18-01516_267.png,.\mask\t18-01516_267-mask.png
.\image\1000003222_84.png,.\mask\1000003222_84-mask.png
.\image\t18-01516_136.png,.\mask\t18-01516_136-mask.png
.\image\1000002477_282.png,.\mask\1000002477_282-mask.png
.\image\t18-01516_66.png,.\mask\t18-01516_66-mask.png
.\image\1000002477_265.png,.\mask\1000002477_265-mask.png
.\image\t18-01516_406.png,.\mask\t18-01516_406-mask.png
.\image\1000003222_352.png,.\mask\1000003222_352-mask.png
.\image\1000002477_290.png,.\mask\1000002477_290-mask.png
